path,size_bytes,sha256,purpose
Chapter_01/README.md,176,ac023d2def1adde840145bfc0825ea17c46cea48a5edcdf424bfb8ba5646d74d,Chapter guide
Chapter_01/skillops-inventory-example.md,730,e9b3f42d73d1530559e7eb499cf50f6b2e901f5c79260fc02ae4ab470985965b,Reference example for Exercise 1-1
Chapter_01/skillops-inventory-template.csv,117,146c614ae1a90e854e8305980cecc4cb7c60f80e3dbe4ee3aed27cf917ff45c9,Exercise 1-1 CSV inventory template
Chapter_01/skillops-inventory-template.md,418,368c00f67e7d02ff17386b1c1b2287ec7ba55c1f79ae9db027d2259c5ae89f4d,Exercise 1-1 Markdown inventory template
Chapter_02/azure-skillops-ecosystem-map.md,913,d364776fec775d754a77eb1e00e2bad4ae0d68bca8463758f16d8ffdece77c35,Chapter 2 architecture reference
Chapter_02/capability-comparison.md,520,897bc607db9de6625baf413a4e01906432de4ee88dce915b3f15d0ec663c246c,Chapter 2 concept reference
Chapter_02/README.md,237,c5df5d9cf7e8989a41b5b5ea0879c1af19f172e741d3167f6a3ca0ef3a385468,Chapter guide
Chapter_03/README.md,516,9cd55f4ab6e86efdd6bdebbecfc894fb6a3cd54e173f8a14ce454371830e8a6e,Chapter guide
Chapter_03/skillops-chapter3-lab/.github/skills/azure-deployment-review/examples/container-apps-review.md,405,6305c0325c485dce05a7ada2b566dd036363650eba77cdad3036a3d03e7c6d1f,Exercise 3-1 skill
Chapter_03/skillops-chapter3-lab/.github/skills/azure-deployment-review/references/deployment-checklist.md,437,62f78c439bd012d11b1d862197d4a2010b26411e5f12bb1b68e257e790061257,Exercise 3-1 skill
Chapter_03/skillops-chapter3-lab/.github/skills/azure-deployment-review/references/rollback-guidance.md,270,18a200d8c7bc2e0ad9aa159e931372929b3e694c7c1faaef95738aca5f170e3c,Exercise 3-1 skill
Chapter_03/skillops-chapter3-lab/.github/skills/azure-deployment-review/scripts/validate-bicep.sh,131,470776ecb1eb765778aa17b135311aec462899bd6b80043ad2545041f2f4744d,Exercise 3-1 skill
Chapter_03/skillops-chapter3-lab/.github/skills/azure-deployment-review/SKILL.md,696,65ca3dd0be563f217eceaf6db73ae47d0875754be74262037b5722b289c02c2e,Exercise 3-1 skill
Chapter_03/skillops-chapter3-lab/.vscode/mcp.json,215,fb9b95e9912e0d680183ff8118c988d51ee92737d68e8153277dfb7e1f84c046,Exercise 3-2 read-only MCP configuration
Chapter_03/skillops-chapter3-lab/activation-test-notes.md,287,c87328dbc660a969dbb1b96564f4d2b796b9270cdc1b2c0c8cc7079ae586ad31,Exercise 3-1 result template
Chapter_03/skillops-chapter3-lab/create-sandbox-resource-group.ps1,537,d046f532cf21e5f080ae53c17daa9b4a7103c7ba3ee3bad875ee79c2385303b7,Optional Exercise 3-2 sandbox helper
Chapter_03/skillops-chapter3-lab/live-azure-context-record.md,414,299e02274ab0c69e3a5f5b153b7ff3c38d6f6f52a526a6afddb1e8e39807a9ff,Exercise 3-2 evidence template
Chapter_03/skillops-chapter3-lab/sample-deployment-notes.md,185,4b0b9689fc6f6556b7d1ec6426c3b614c8f53afa73b5d30b788d345baf087755,Exercise 3-1 test input
Chapter_04/README.md,261,da0f2cccd619f6031c5fd8257731fe492b433bdf90b0eef1e09ab5630b1e81db,Chapter guide
Chapter_04/reference/app-service-change-review/SKILL.md,2031,a3aec0d45ab21fd8234929add8cde4c53e4b2499fe6a55dad2c0cc50f7ae60ca,Exercise 4-1 completed reference
Chapter_04/reference/description-rewrite-worksheet.md,194,9a6e85c089ed75006f47c5cd1114cdbe066d9fd448ccc2c497a1c67359d0a82f,Chapter 4 reference worksheet
Chapter_04/skill-design-review-checklist.md,712,9297400b11ef3df994ee87a786f8b6ea709125fc6a58e00d3c5b3bc7b9b4416f,Exercise 4-1 checklist
Chapter_04/weak-draft/SKILL.md,339,f632264d90d3cf8a342d13fcf09fdd3caafade2c2bf730687bd77b11d85e3520,Exercise 4-1 weak input
Chapter_05/azure-internal-skills/.github/skills/azure-app-service-deployment-review/examples/app-service-design-brief.md,407,09267b672e01276da7b55eb2c874b88524b2159150e1912514cf798f5e7b331a,Exercise 5-2 installed skill
